#Employee,,,,,,,,,,,,,,,,,,,,,,,,,,
EmpCode,CompanyCode,IsPartime,EmploymentStartDate,EmploymentEndDate,EmploymentType,SurName,OtherName,FullChineseName,Gender,MobilePhone,HomePhone,BirthDate,Email,ICN,Passport,Country,MaritalStatus,SpouseName,SpousePassport,SpouseCountry,ResidentialAddress,PostalAddress,BankAccount,EmpTaxFileNum,Title,PaySlipDeliveryDay
TF170606,Ltd,0,1/1/2018,1/1/2038,1,Ling Chi,Cheng,Cheng Ling Chi,1,7207718079,,1/1/1990,a@a.a,icn1,ppt1,CN,0,,,,raddr1,paddr1,bk1,eptax1,caption1,
TF170702,TFHK,0,1/1/2018,1/1/2038,2,Dhirendra,Joshi,Dhirendra Joshi,1,7207718079,,1/2/1990,a@a.a,icn2,ppt2,CN,1,,,,raddr2,paddr2,bk2,eptax12,caption12,7
emp1,test,0,1/1/2018,1/1/2038,1,emp1,ep1,emp1ep1,1,7207718079,,1/3/1990,a@a.a,icn3,ppt3,CN,0,,,,raddr3,paddr3,bk3,eptax13,caption13,8
emp2,test,0,1/1/2018,1/1/2038,2,emp2,ep2,emp2ep2,1,7207718079,,1/4/1990,a@a.a,icn4,ppt4,CN,1,,,,raddr4,paddr4,bk4,eptax14,caption14,9
emp3,test,0,1/1/2018,1/1/2038,1,emp3,ep3,emp3ep3,1,7207718079,,1/5/1990,a@a.a,icn5,ppt5,CN,0,,,,raddr5,paddr5,bk5,eptax15,caption15,10
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#EmployeePackage,,,,,,,,,,,,,,,,,,,,,,,,,,
PackageUid,PackageName,EmpCode,CompanyCode,StartDate,EndDate,,,,,,,,,,,,,,,,,,,,,
$uid(A7),P1TF170606,TF170606,Ltd,1/1/2018,12/31/2018,,,,,,,,,,,,,,,,,,,,,
$uid(A24),P1TF170702,TF170702,TFHK,1/1/2018,12/31/2018,,,,,,,,,,,,,,,,,,,,,
$uid(A15),p1emp1,emp1,test,1/1/2018,12/31/2018,,,,,,,,,,,,,,,,,,,,,
$uid(A16),p1emp2,emp2,test,1/1/2018,12/31/2018,,,,,,,,,,,,,,,,,,,,,
$uid(A17),p1emp3,emp3,test,1/1/2018,12/31/2018,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#PackageItem,,,,,,,,,,,,,,,,,,,,,,,,,,
PackageItemUid,TemplateCode,CompanyCode,Amount,Function,EffectiveDate,PackageUid,,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_salary_monthly,Ltd,22500,,1/1/2018,$uid(A7),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_mgmt_monthly,Ltd,,?salary * 8 / 100,1/1/2018,$uid(A7),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_mpf_monthly,Ltd,,,1/1/2018,$uid(A7),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_empf_monthly,Ltd,,,1/1/2018,$uid(A7),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_netpay_monthly,Ltd,,,1/1/2018,$uid(A7),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_invoice_total_monthly,Ltd,,,1/1/2018,$uid(A7),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_salary_monthly,TFHK,125000,,1/1/2018,$uid(A24),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_mgmt_monthly,TFHK,,?((salary/10)>8500)?8500:(salary/10),1/1/2018,$uid(A24),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_mpf_monthly,TFHK,,,1/1/2018,$uid(A24),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_empf_monthly,TFHK,,,1/1/2018,$uid(A24),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_netpay_monthly,TFHK,,,1/1/2018,$uid(A24),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_invoice_total_monthly,TFHK,,,1/1/2018,$uid(A24),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_salary_monthly,test,125000,,1/1/2018,$uid(A15),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_mgmt_monthly,test,,?((salary/10)>8500)?8500:(salary/10),1/1/2018,$uid(A15),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_mpf_monthly,test,,,1/1/2018,$uid(A15),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_empf_monthly,test,,,1/1/2018,$uid(A15),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_netpay_monthly,test,,,1/1/2018,$uid(A15),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_invoice_total_monthly,test,,,1/1/2018,$uid(A15),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_salary_monthly,test,125000,,1/1/2018,$uid(A16),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_mgmt_monthly,test,,?((salary/10)>8500)?8500:(salary/10),1/1/2018,$uid(A16),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_mpf_monthly,test,,,1/1/2018,$uid(A16),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_empf_monthly,test,,,1/1/2018,$uid(A16),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_netpay_monthly,test,,,1/1/2018,$uid(A16),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_invoice_total_monthly,test,,,1/1/2018,$uid(A16),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_salary_monthly,test,125000,,1/1/2018,$uid(A17),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_mgmt_monthly,test,,?((salary/10)>8500)?8500:(salary/10),1/1/2018,$uid(A17),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_mpf_monthly,test,,,1/1/2018,$uid(A17),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_empf_monthly,test,,,1/1/2018,$uid(A17),,,,,,,,,,,,,,,,,,,,
